order_year,order_week,total_orders
2015,0,202
2015,1,427
2015,2,401
2015,3,422
2015,4,393
2015,5,456
2015,6,421
2015,7,411
2015,8,397
2015,9,407
2015,10,417
2015,11,428
2015,12,410
2015,13,437
2015,14,405
2015,15,417
2015,16,431
2015,17,430
2015,18,393
2015,19,464
2015,20,404
2015,21,399
2015,22,418
2015,23,425
2015,24,407
2015,25,422
2015,26,478
2015,27,400
2015,28,425
2015,29,429
2015,30,428
2015,31,419
2015,32,440
2015,33,409
2015,34,401
2015,35,391
2015,36,433
2015,37,424
2015,38,275
2015,39,442
2015,40,344
2015,41,383
2015,42,352
2015,43,361
2015,44,401
2015,45,403
2015,46,394
2015,47,488
2015,48,415
2015,49,420
2015,50,429
2015,51,316
2015,52,206
